Season,Team,Lg,W,GP,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,ERA,CG,SHO,SV,IP,HA,RA,ER,HRA,BBA,IBBA,SOA,HBPA,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
2001,SEA,AL,116,162,46,0.716,32,0.6532191547593562,0.5080098114788284,1.9270657114330416,1.3741327489813246,1.3209931662696566,1.0586136431348652,0.6544883792576855,0.34850581556678134,1.9138235432730344,1.7622795645449183,-0.15055535819963045,1.1495946541894428,-0.17793142238711548,0.288,0.36,0.445,0.805,117,1.1586367845716985,-0.35114141739112936,0.8066779553159635,-0.11171647244969235,2.5410325665066975,0.7507927187619603,1.140037808315296,5.7,3.54,-0.3509844588623899,0.12929713333245693,1.909851535763997,0.37176577044013037,-0.5413490345083741,-0.7004364381668919,-0.6343820536252043,0.16591096821188947,-0.586805483195072,-0.6533758139831597,0.08145229899342289,0.960100995086886,-1.0406556938341673,-0.72394642778984,0.09833434864852236,117,4.12,1.2,7.9,1.0,2.9,6.5,2.26
1998,NYY,AL,114,162,48,0.704,32,0.6091861058613302,0.4470011168983578,2.2621371907566377,1.3069451904588658,1.1473037601172433,0.6172304720287337,0.00528853440078132,1.2042893856845718,2.150253258172032,1.2435619174103156,1.0033712171588562,1.5995668580452234,-0.027178507146183094,0.288,0.364,0.46,0.825,116,1.3812417628852638,1.195027722525235,0.5424163142223889,-0.7580259011956115,1.4583644685402883,-0.3860892162453573,0.7411003535878253,6.0,3.82,0.6517144379472645,1.2968279197191004,1.0591223455127377,0.31601956124627684,-0.18987259133152815,-0.45106094965884774,-0.24224373884732445,0.06340614660557495,-0.5749177595875249,-0.8066056732668428,0.20252603888377074,1.1825671940773697,-0.3915718127959836,-0.940048343752016,0.10420024622100153,116,4.15,1.251,8.4,1.0,2.9,6.7,2.32
2022,LAD,NL,111,162,51,0.685,29,0.3200357514309593,0.25408173133308587,1.2216520707517873,0.1479598059464515,-0.7179694276934548,1.389651021464464,0.00528853440078132,1.3168924870158598,1.286375453733387,-0.11498430127554891,-1.4693285871807582,1.0688304124717387,1.4342872544950782,0.257,0.333,0.442,0.775,115,0.8672861511907086,-1.6161888955045183,0.4895639860036739,-1.92946174079759,0.8678182332858833,-1.0682183772497478,0.4160402052913678,5.2,2.8,-0.852333907267217,-0.7463509564575258,0.5274166016057006,0.2837120990998379,-1.524384711518615,-1.6807400826467898,-1.7743190151888084,-0.039098675000739574,-1.2762934524328011,-1.4195251104015751,1.809884309841837,1.5718830423107162,-0.7161137533150754,-0.8680143717646239,-0.24042123616214991,145,3.45,1.048,6.9,0.9,2.5,9.1,3.6
2018,BOS,AL,108,162,54,0.667,40,0.400763007744007,0.41402344415215747,1.477364515498742,0.6574654580750974,-0.22710806248011317,2.0517257781236613,0.00528853440078132,1.2268100059508293,1.4409641134750393,0.5519383878975118,-0.754993088149314,0.6303959574327731,0.9275899560463887,0.268,0.339,0.453,0.792,112,1.224108837016865,0.49222356801779665,0.43671165778495896,-1.7678843836111102,0.37569637057387917,-0.15871282924389377,0.15746963278282206,5.4,3.75,-0.7807125574950988,-1.0382336530541867,0.8464400479499228,0.32868915424487993,-0.47544720141271546,-0.5284533426441028,-0.3425581914649216,0.5759302546371475,-0.028082473640360386,-1.6749082092077137,2.1981552688005386,2.0724319900393047,-0.7161137533150754,0.06842726407147237,0.2009875561669079,118,3.82,1.246,8.1,1.1,3.2,9.6,3.04
1986,NYM,NL,108,162,54,0.667,36,0.4697481176842478,0.3068460077270064,0.6573211582067838,0.3943141871954671,0.5809252617941568,-0.02277512607515701,0.00528853440078132,-0.1244272100246291,0.5407125067442409,0.3790325055193109,0.1791379490456515,1.3457363840752958,-0.26587062294432606,0.263,0.339,0.401,0.74,106,0.17328239527194608,0.11739468561382953,-0.8317442194641997,0.9789306885590463,0.8678182332858833,1.5466100732670827,0.659835316513711,4.8,3.11,1.0098211868078553,1.0049452231224396,0.8464400479499228,0.4927603835767898,-0.4809390208373537,-1.121795022197725,-1.2089102822532607,-1.2947827396780924,-0.06374564446300156,-0.602299194221932,0.2150509085275998,-0.8752451465846048,1.3934088600590218,-0.72394642778984,0.1995210817737881,115,3.31,1.221,7.9,0.6,3.1,6.6,2.13
1975,CIN,NL,108,162,54,0.667,29,0.5724918984463085,0.34477033138513674,1.1599283771921776,0.6910592373363268,0.9887177805867792,0.35240056936505476,0.5617455442781277,-0.6649220964148125,0.9862915848231208,1.6140745225064603,-0.4802486654449124,2.038001313084189,-0.48362483384789506,0.271,0.353,0.401,0.754,108,0.2060184214945292,0.11739468561382953,-0.62033490658934,0.6153816348894667,0.08042325294667667,1.4897659765167168,1.2434660373187143,5.2,3.37,0.6517144379472645,0.12929713333245693,1.2718046430755523,0.3337569914443209,0.16709567126995603,-1.0530017839886094,-0.9079669244004692,-1.064146891063885,-0.3252755638290368,1.1343058776598096,-1.5384308416084724,-0.9864782460798467,0.41978303850174614,-0.07564067990331169,0.18925576102194955,107,3.74,1.308,8.8,0.7,3.0,4.1,1.36
2021,SFG,NL,107,162,55,0.66,54,0.24517956830431506,0.14855317854524477,0.8424922388856131,-0.17678006024543272,-0.9218656870897659,0.19791645947790876,-0.5511684754765651,1.9699904747373314,0.8862636285196988,-0.9054111921473246,-1.6891241253442795,1.0111416683876644,1.7986067996606647,0.249,0.329,0.44,0.769,107,0.746162854167151,-0.11687336588864991,0.9123826117533934,-0.5964485440091317,-1.3959423351893356,0.2391958480086674,0.26089786178624036,5.0,3.25,-0.7807125574950988,-0.45446825986086486,1.909851535763997,0.30841780544711467,-0.7555299920692646,-0.9842085457794939,-1.0994763339431548,-0.0647248804023182,-1.1693039399648777,-1.0619887720729813,1.6428860479241159,0.9044844453392651,-0.06702987227689168,-0.4358105398402718,-0.03951424430473822,128,3.55,1.148,7.8,0.9,2.6,8.8,3.43
2019,HOU,AL,107,162,55,0.66,36,0.5357976910312868,0.3975346077790573,1.865342017873432,0.8198353911710395,-0.34793547545570497,1.3455127043538506,-0.2729399705378919,3.0284596272514404,2.004758049003418,-0.8807103518075816,-0.9747886263128354,1.5072648675107043,0.5632704108808021,0.274,0.352,0.495,0.848,119,1.9803110427585353,1.241881332825731,1.0180872681908233,-1.6467013657212504,1.2615157234554866,-1.3524388610015772,0.4825297810792796,5.7,3.66,-0.7807125574950988,-0.7463509564575258,0.9527811967313302,0.35339486059215525,-1.0246291438765374,-0.588647426077079,-0.4611116354675364,1.9597453463223937,-0.7888967845233719,-2.083521167297535,2.669925358718101,-0.3190796491083955,0.09524109798265426,-0.6519124558024479,-0.04977956505657677,127,3.98,1.13,7.4,1.4,2.8,10.3,3.73
2022,HOU,AL,106,162,56,0.654,23,0.03675647018699191,0.061162345767813896,0.2517083148150625,-0.2831603612393258,-0.8690036939129445,0.48481552069689426,-1.664082495231258,1.3619337275483752,0.40431074814866536,-0.4854969063716938,-1.249533049017237,0.15734825594336288,0.6177089636066944,0.248,0.319,0.424,0.743,111,0.38279296309647814,-0.07001975558815403,0.7009732988785337,-1.6870957050178703,-0.2148498646805258,-1.2955947642512113,-0.25624328323085116,4.5,2.9,-0.7090912077229806,-0.7463509564575258,1.5908280894197746,0.2450698404540989,-1.4859419755461476,-1.6377443087660923,-1.6466460754936847,-0.5003703722291549,-0.6700195484479013,-1.777061448730169,2.0562067461704756,0.7376347960964023,-0.22930084253643762,0.42859712400843253,-0.25361950570022807,132,3.28,1.093,7.0,0.8,2.9,9.5,3.33
2021,LAD,NL,106,162,56,0.654,61,0.30829360505815234,0.12052215671097449,1.0717516721070208,-0.3447489565515797,-0.9294174004007404,-0.3317433458494491,-0.6439113104561228,1.8799079936723009,1.1681605962838881,-0.9301120324870676,-1.5242774717216385,1.138056905372628,1.576665007778181,0.244,0.33,0.429,0.759,101,0.5235578758535856,-1.1007991821990637,3.0264757405019913,-0.7580259011956115,0.08042325294667667,-0.2724010227446255,0.4899175117223809,5.1,3.03,-0.852333907267217,-1.0382336530541867,1.909851535763997,0.28941341594920994,-1.5628274474910826,-1.2679806533920959,-1.4277781788734727,0.19153717361346811,-0.3371632874365838,0.11277348243525571,2.369328487266203,0.9044844453392651,0.2575120682422002,0.1404612360588644,-0.11870386153320706,140,3.54,1.097,6.9,1.0,3.0,9.9,3.29
